Timestamp Open High Low Close Volume_BTC Volume_Currency Weighted_Price
2017-06-12 00:00:00 2599.786 2600 2596.786 2599.442 16 41595.15 2599.14
2017-06-12 00:05:00 2599.442 2600 2594.932 2595.53 17.56 45640.84 2599.13
2017-06-12 00:10:00 2598.258 2598.273 2595.582 2598.273 0.64 1652.67 2596.62
2017-06-12 00:15:00 2598 2604.011 2596.125 2603.542 6.28 16319.74 2599.55
2017-06-12 00:20:00 2603.542 2604.99 2598.89 2604.989 12.22 31835.54 2604.5
2017-06-12 00:25:00 2604.099 2604.099 2602.568 2603 2.69 6995.13 2602.95
2017-06-12 00:30:00 2603 2603 2602.942 2602.999 10.35 26938.45 2602.99
2017-06-12 00:35:00 2602.938 2602.999 2600.003 2602.738 18.54 48217.63 2601.2
2017-06-12 00:40:00 2602.738 2602.999 2602.069 2602.906 14.51 37771.91 2602.4
2017-06-12 00:45:00 2602.645 2602.999 2602.173 2602.999 8.28 21555.77 2602.99
2017-06-12 00:50:00 2602.999 2602.999 2602.269 2602.968 4.81 12532.56 2602.99
2017-06-12 00:55:00 2602.968 2602.998 2602.381 2602.998 1.27 3314.17 2602.96
2017-06-12 01:00:00 2602.998 2602.999 2602.27 2602.272 4.15 10793.92 2602.96
2017-06-12 01:05:00 2602.272 2604.98 2602.269 2604.867 17.21 44796.83 2603.52
2017-06-12 01:10:00 2602.651 2604.98 2595.28 2601.781 9 23406.51 2600.68
2017-06-12 01:15:00 2601.508 2604.255 2596.113 2597.313 15.53 40401.31 2601.55
2017-06-12 01:20:00 2603.523 2604.99 2596.95 2599.123 30.84 80280.44 2602.76
2017-06-12 01:25:00 2599.125 2606 2598.281 2599.875 28.21 73452.69 2604.1
2017-06-12 01:30:00 2599.893 2604.017 2599.893 2602.722 1.56 4047.59 2600.8
2017-06-12 01:35:00 2602.72 2602.72 2597.72 2601.722 16.55 43028.53 2600.07
2017-06-12 01:40:00 2601.738 2604.961 2600.458 2602.507 34.78 90531.51 2602.9
2017-06-12 01:45:00 2604.963 2605.242 2603.238 2603.438 27.32 71152.34 2604.34
2017-06-12 01:50:00 2603.497 2606.31 2603.497 2605.541 47.89 124773.08 2605.32
2017-06-12 01:55:00 2605.541 2606.302 2603.497 2605.308 27.46 71508.57 2604.4
2017-06-12 02:00:00 2605.308 2605.308 2601.433 2601.433 22.64 58963.82 2604.02
2017-06-12 02:05:00 2604.831 2604.831 2595.64 2597.263 12.2 31717.05 2600.39
2017-06-12 02:10:00 2597.594 2604.831 2597.594 2603.316 5.05 13164.16 2604.68
2017-06-12 02:15:00 2603.055 2603.316 2598.483 2600.111 2.57 6698.91 2602.9
2017-06-12 02:20:00 2600 2602.78 2596 2597.117 3.92 10188.86 2598.28
2017-06-12 02:25:00 2597.006 2601.709 2596 2601.2 1.66 4309.04 2597.69
2017-06-12 02:30:00 2600.624 2600.624 2599.733 2599.992 2.35 6108.89 2599.96
2017-06-12 02:35:00 2599.732 2599.995 2596.328 2599.985 21.3 55372.12 2599.86
2017-06-12 02:40:00 2599.985 2600.915 2596.05 2600.914 35.44 92068.3 2597.73
2017-06-12 02:45:00 2600.903 2600.914 2593.12 2593.121 76.29 197969.83 2595.09
2017-06-12 02:50:00 2593.232 2600.51 2593.12 2600.51 42.53 110359.13 2594.78
2017-06-12 02:55:00 2596.093 2599.77 2580.22 2581.028 109.36 282992.78 2587.79
2017-06-12 03:00:00 2586.901 2592.553 2580.601 2589.428 6.01 15569.55 2588.9
2017-06-12 03:05:00 2581.182 2589.997 2581.182 2586.563 2.88 7450.69 2588.68
2017-06-12 03:10:00 2589.504 2590 2588.054 2589.775 4.02 10413.26 2589.63
2017-06-12 03:15:00 2589.794 2592.983 2588 2592.983 7.31 18940.72 2590.13
2017-06-12 03:20:00 2592.023 2599.075 2590.999 2599.075 45.24 117324.85 2593.63
2017-06-12 03:25:00 2599.071 2602.507 2599.071 2602 7.51 19541.04 2601.07
2017-06-12 03:30:00 2602.243 2604.94 2599.027 2602.848 23.01 59881.48 2602.13
2017-06-12 03:35:00 2603.848 2606.09 2603.848 2604.773 75.63 197045.47 2605.42
2017-06-12 03:40:00 2604.513 2606.31 2602.001 2604.484 49.98 130196.13 2605.22
2017-06-12 03:45:00 2604.479 2605.693 2602.001 2605.692 8.63 22466.47 2603.3
2017-06-12 03:50:00 2605.431 2605.782 2602.38 2604.739 8.51 22159.96 2603.78
